test accuracy,numEpoch,ensemble,hidden nodes,alpha decay,momentum,max Epoch,early stop limit,alpha
0.601651187,85,1,5,1.00E-04,0,1000,0.6,0.1
0.556759546,86,1,5,1.00E-04,0,1000,0.6,0.1
0.534055728,87,1,5,1.00E-04,0,1000,0.6,0.1
0.508513932,88,1,5,1.00E-04,0,1000,0.6,0.1
0.572239422,89,1,5,1.00E-04,0,1000,0.6,0.1
0.580495356,90,1,5,1.00E-04,0,1000,0.6,0.1
0.606811146,91,1,5,1.00E-04,0,1000,0.6,0.1
0.601135191,92,1,5,1.00E-04,0,1000,0.6,0.1
0.591331269,93,1,5,1.00E-04,0,1000,0.6,0.1
0.604231166,94,1,5,1.00E-04,0,1000,0.6,0.1
0.605263158,95,1,5,1.00E-04,0,1000,0.6,0.1
0.613519092,96,1,5,1.00E-04,0,1000,0.6,0.1
0.60500516,97,1,5,1.00E-04,0,1000,0.6,0.1
0.567595459,98,1,5,1.00E-04,0,1000,0.6,0.1
0.577141383,99,1,5,1.00E-04,0,1000,0.6,0.1
0.597265222,100,1,5,1.00E-04,0,1000,0.6,0.1
0.584107327,101,1,5,1.00E-04,0,1000,0.6,0.1
0.578947368,102,1,5,1.00E-04,0,1000,0.6,0.1
0.560371517,103,1,5,1.00E-04,0,1000,0.6,0.1
0.60500516,104,1,5,1.00E-04,0,1000,0.6,0.1
0.547987616,105,1,5,1.00E-04,0,1000,0.6,0.1
0.589783282,106,1,5,1.00E-04,0,1000,0.6,0.1
0.576367389,107,1,5,1.00E-04,0,1000,0.6,0.1
0.589267286,108,1,5,1.00E-04,0,1000,0.6,0.1
0.588235294,109,1,5,1.00E-04,0,1000,0.6,0.1
0.551857585,110,1,5,1.00E-04,0,1000,0.6,0.1
0.607843137,111,1,5,1.00E-04,0,1000,0.6,0.1
0.610939112,112,1,5,1.00E-04,0,1000,0.6,0.1
0.577915377,113,1,5,1.00E-04,0,1000,0.6,0.1
0.573013416,114,1,5,1.00E-04,0,1000,0.6,0.1
0.577141383,115,1,5,1.00E-04,0,1000,0.6,0.1
0.589783282,116,1,5,1.00E-04,0,1000,0.6,0.1
0.599329205,117,1,5,1.00E-04,0,1000,0.6,0.1
0.586429309,118,1,5,1.00E-04,0,1000,0.6,0.1
0.59494324,119,1,5,1.00E-04,0,1000,0.6,0.1
0.583333333,120,1,5,1.00E-04,0,1000,0.6,0.1
0.553921569,121,1,5,1.00E-04,0,1000,0.6,0.1
0.550825593,122,1,5,1.00E-04,0,1000,0.6,0.1
