test accuracy,numEpoch,ensemble,hidden nodes,alpha decay,momentum,max Epoch,early stop limit,alpha
0.639607419,86,1,5,1.00E-04,0,1000,0.6,0.1
0.594277635,87,1,5,1.00E-04,0,1000,0.6,0.1
0.471679281,88,1,5,1.00E-04,0,1000,0.6,0.1
0.629792897,89,1,5,1.00E-04,0,1000,0.6,0.1
0.513765283,90,1,5,1.00E-04,0,1000,0.6,0.1
0.580138069,91,1,5,1.00E-04,0,1000,0.6,0.1
0.574731764,92,1,5,1.00E-04,0,1000,0.6,0.1
0.594360808,93,1,5,1.00E-04,0,1000,0.6,0.1
0.62837894,94,1,5,1.00E-04,0,1000,0.6,0.1
0.613657157,95,1,5,1.00E-04,0,1000,0.6,0.1
0.631040506,96,1,5,1.00E-04,0,1000,0.6,0.1
0.624885636,97,1,5,1.00E-04,0,1000,0.6,0.1
0.617649505,98,1,5,1.00E-04,0,1000,0.6,0.1
0.605173418,99,1,5,1.00E-04,0,1000,0.6,0.1
0.633702071,100,1,5,1.00E-04,0,1000,0.6,0.1
0.546036763,101,1,5,1.00E-04,0,1000,0.6,0.1
0.616568244,102,1,5,1.00E-04,0,1000,0.6,0.1
0.578973634,103,1,5,1.00E-04,0,1000,0.6,0.1
0.482408717,104,1,5,1.00E-04,0,1000,0.6,0.1
0.607419113,105,1,5,1.00E-04,0,1000,0.6,0.1
0.558596024,106,1,5,1.00E-04,0,1000,0.6,0.1
0.593196374,107,1,5,1.00E-04,0,1000,0.6,0.1
0.590867504,108,1,5,1.00E-04,0,1000,0.6,0.1
0.636363636,109,1,5,1.00E-04,0,1000,0.6,0.1
0.622140897,110,1,5,1.00E-04,0,1000,0.6,0.1
0.604258505,111,1,5,1.00E-04,0,1000,0.6,0.1
0.584962156,112,1,5,1.00E-04,0,1000,0.6,0.1
0.617649505,113,1,5,1.00E-04,0,1000,0.6,0.1
0.609332113,114,1,5,1.00E-04,0,1000,0.6,0.1
0.61457207,115,1,5,1.00E-04,0,1000,0.6,0.1
0.580138069,116,1,5,1.00E-04,0,1000,0.6,0.1
0.608250853,117,1,5,1.00E-04,0,1000,0.6,0.1
0.592530982,118,1,5,1.00E-04,0,1000,0.6,0.1
0.582051069,119,1,5,1.00E-04,0,1000,0.6,0.1
0.59926807,120,1,5,1.00E-04,0,1000,0.6,0.1
0.599683939,121,1,5,1.00E-04,0,1000,0.6,0.1
0.609664809,122,1,5,1.00E-04,0,1000,0.6,0.1
0.575147634,123,1,5,1.00E-04,0,1000,0.6,0.1
0.544539632,124,1,5,1.00E-04,0,1000,0.6,0.1
0.61881394,125,1,5,1.00E-04,0,1000,0.6,0.1
0.608583548,126,1,5,1.00E-04,0,1000,0.6,0.1
0.622390418,127,1,5,1.00E-04,0,1000,0.6,0.1
0.590451634,128,1,5,1.00E-04,0,1000,0.6,0.1
0.607086418,129,1,5,1.00E-04,0,1000,0.6,0.1
0.588704982,130,1,5,1.00E-04,0,1000,0.6,0.1
0.528736588,131,1,5,1.00E-04,0,1000,0.6,0.1
0.606753722,132,1,5,1.00E-04,0,1000,0.6,0.1
0.607419113,133,1,5,1.00E-04,0,1000,0.6,0.1
0.240622141,134,1,5,1.00E-04,0,1000,0.6,0.1
0.59269733,135,1,5,1.00E-04,0,1000,0.6,0.1
0.616069201,136,1,5,1.00E-04,0,1000,0.6,0.1
0.62921068,137,1,5,1.00E-04,0,1000,0.6,0.1
0.580470764,138,1,5,1.00E-04,0,1000,0.6,0.1
0.574898112,139,1,5,1.00E-04,0,1000,0.6,0.1
0.605422939,140,1,5,1.00E-04,0,1000,0.6,0.1
0.597521417,141,1,5,1.00E-04,0,1000,0.6,0.1
0.590285287,142,1,5,1.00E-04,0,1000,0.6,0.1
0.606171505,143,1,5,1.00E-04,0,1000,0.6,0.1
0.278216751,144,1,5,1.00E-04,0,1000,0.6,0.1
0.591616069,145,1,5,1.00E-04,0,1000,0.6,0.1
0.519920153,146,1,5,1.00E-04,0,1000,0.6,0.1
0.641187724,147,1,5,1.00E-04,0,1000,0.6,0.1
0.637195376,148,1,5,1.00E-04,0,1000,0.6,0.1
0.562588372,149,1,5,1.00E-04,0,1000,0.6,0.1
0.579472677,150,1,5,1.00E-04,0,1000,0.6,0.1
0.631539549,151,1,5,1.00E-04,0,1000,0.6,0.1
0.582051069,152,1,5,1.00E-04,0,1000,0.6,0.1
0.638692506,153,1,5,1.00E-04,0,1000,0.6,0.1
0.570905764,154,1,5,1.00E-04,0,1000,0.6,0.1
0.625717375,155,1,5,1.00E-04,0,1000,0.6,0.1
0.576894286,156,1,5,1.00E-04,0,1000,0.6,0.1
0.258920403,157,1,5,1.00E-04,0,1000,0.6,0.1
0.636197289,158,1,5,1.00E-04,0,1000,0.6,0.1
0.55701572,159,1,5,1.00E-04,0,1000,0.6,0.1
0.6084172,160,1,5,1.00E-04,0,1000,0.6,0.1
0.611494635,161,1,5,1.00E-04,0,1000,0.6,0.1
0.55510272,162,1,5,1.00E-04,0,1000,0.6,0.1
0.568576894,163,1,5,1.00E-04,0,1000,0.6,0.1
0.587041504,164,1,5,1.00E-04,0,1000,0.6,0.1
0.61074607,165,1,5,1.00E-04,0,1000,0.6,0.1
0.63494968,166,1,5,1.00E-04,0,1000,0.6,0.1
0.636945854,167,1,5,1.00E-04,0,1000,0.6,0.1
0.584047243,168,1,5,1.00E-04,0,1000,0.6,0.1
0.61074607,169,1,5,1.00E-04,0,1000,0.6,0.1
0.583797721,170,1,5,1.00E-04,0,1000,0.6,0.1
0.631872245,171,1,5,1.00E-04,0,1000,0.6,0.1
0.595192548,172,1,5,1.00E-04,0,1000,0.6,0.1
0.529817849,173,1,5,1.00E-04,0,1000,0.6,0.1
0.634117941,174,1,5,1.00E-04,0,1000,0.6,0.1
0.615902853,175,1,5,1.00E-04,0,1000,0.6,0.1
0.630458288,176,1,5,1.00E-04,0,1000,0.6,0.1
0.2917741,177,1,5,1.00E-04,0,1000,0.6,0.1
0.635116028,178,1,5,1.00E-04,0,1000,0.6,0.1
0.579722199,179,1,5,1.00E-04,0,1000,0.6,0.1
0.606421026,180,1,5,1.00E-04,0,1000,0.6,0.1
0.610247027,181,1,5,1.00E-04,0,1000,0.6,0.1
0.254179489,182,1,5,1.00E-04,0,1000,0.6,0.1
0.599434417,183,1,5,1.00E-04,0,1000,0.6,0.1
0.629044332,184,1,5,1.00E-04,0,1000,0.6,0.1
